date,SWC,wyr
3/24/2023,404146.7751,2022-23
3/25/2023,403898.1107,2022-23
3/26/2023,403555.7405,2022-23
3/27/2023,402696.4775,2022-23
3/28/2023,401829.4083,2022-23
3/29/2023,400988.4083,2022-23
3/30/2023,400488.1557,2022-23
3/31/2023,399904.2215,2022-23
4/1/2023,402438.7647,2022-23
4/2/2023,402476.5744,2022-23
4/3/2023,401883.7301,2022-23
4/4/2023,401232.1834,2022-23
4/5/2023,400764.7266,2022-23
4/6/2023,399986.7612,2022-23
4/7/2023,409998.917,2022-23
4/8/2023,412222.5675,2022-23
4/9/2023,417831.6401,2022-23
4/10/2023,422525.9239,2022-23
4/11/2023,420782.5017,2022-23
4/12/2023,419647.1903,2022-23
4/13/2023,417072.7163,2022-23
4/14/2023,415230.0519,2022-23
4/15/2023,413216.9723,2022-23
4/16/2023,414859.782,2022-23
4/17/2023,417370.1384,2022-23
4/18/2023,416347.7336,2022-23
4/19/2023,416760.7924,2022-23
4/20/2023,413392.5329,2022-23
4/21/2023,413472.481,2022-23
4/22/2023,413710.2561,2022-23
4/23/2023,418436.7024,2022-23
4/24/2023,421156.4152,2022-23
4/25/2023,421060.1661,2022-23
4/26/2023,420704.8235,2022-23
4/27/2023,421149.4671,2022-23
4/28/2023,421491.6782,2022-23
4/29/2023,422498.0796,2022-23
4/30/2023,422246.1419,2022-23
5/1/2023,421201.2215,2022-23
5/2/2023,420016.0727,2022-23
5/3/2023,419281.3979,2022-23
5/4/2023,418241.4706,2022-23
5/5/2023,419399.2215,2022-23
5/6/2023,417510.3806,2022-23
5/7/2023,416112.955,2022-23
5/8/2023,414885.917,2022-23
5/9/2023,413753.8166,2022-23
5/10/2023,413356.6851,2022-23
5/11/2023,412543.1626,2022-23
5/12/2023,411324.1626,2022-23
5/13/2023,409873.6471,2022-23
5/14/2023,408198.0588,2022-23
5/15/2023,405991.5779,2022-23
5/16/2023,403708.2734,2022-23
5/17/2023,402705.301,2022-23
5/18/2023,400216.173,2022-23
5/19/2023,399149.7163,2022-23
5/20/2023,397632.8651,2022-23
5/21/2023,395581.3218,2022-23
5/22/2023,395129.2042,2022-23
5/23/2023,394551.9931,2022-23
5/24/2023,393660.3045,2022-23
5/25/2023,392516.8824,2022-23
5/26/2023,391285.8651,2022-23
5/27/2023,389664.917,2022-23
5/28/2023,388793.6471,2022-23
5/29/2023,387465.1107,2022-23
5/30/2023,385778.6471,2022-23
5/31/2023,383808.7439,2022-23
6/1/2023,382183.8824,2022-23
6/2/2023,380393.5882,2022-23
6/3/2023,378457.5571,2022-23
6/4/2023,376512.1522,2022-23
6/5/2023,374697.5294,2022-23
6/6/2023,372901.1972,2022-23
6/7/2023,370957.4775,2022-23
6/8/2023,369029.8235,2022-23
6/9/2023,367260.9862,2022-23
6/10/2023,368206.0311,2022-23
6/11/2023,367603.1938,2022-23
6/12/2023,366063.4533,2022-23
6/13/2023,364258.2491,2022-23
6/14/2023,363593.2145,2022-23
6/15/2023,362648.8824,2022-23
6/16/2023,361513.481,2022-23
6/17/2023,361170.083,2022-23
6/18/2023,361305.0519,2022-23
6/19/2023,361159.0035,2022-23
6/20/2023,363528.4394,2022-23
6/21/2023,363282.692,2022-23
6/22/2023,363991.1488,2022-23
6/23/2023,362664.0761,2022-23
6/24/2023,361118.0138,2022-23
6/25/2023,360546.9273,2022-23
6/26/2023,359342.6609,2022-23
6/27/2023,358065.5398,2022-23
6/28/2023,356792.5986,2022-23
6/29/2023,355443.3183,2022-23
6/30/2023,354207.2526,2022-23
7/1/2023,353029.2561,2022-23
7/2/2023,351901.3668,2022-23
7/3/2023,350697.09,2022-23
7/4/2023,349344.2976,2022-23
7/5/2023,348031.7716,2022-23
7/6/2023,346734.2422,2022-23
7/7/2023,345557.1592,2022-23
7/8/2023,344470.4118,2022-23
7/9/2023,343511.7785,2022-23
7/10/2023,342491.2422,2022-23
7/11/2023,341719.4948,2022-23
7/12/2023,341027.7543,2022-23
7/13/2023,340267.1142,2022-23
7/14/2023,339395.4256,2022-23
7/15/2023,338431.0761,2022-23
7/16/2023,337449.609,2022-23
7/17/2023,336710.4913,2022-23
7/18/2023,337704.1661,2022-23
7/19/2023,336731.301,2022-23
7/20/2023,335615.2076,2022-23
7/21/2023,334560.4983,2022-23
7/22/2023,333682.3495,2022-23
7/23/2023,332900.7163,2022-23
7/24/2023,332555.0588,2022-23
7/25/2023,339501.3529,2022-23
7/26/2023,346247.5709,2022-23
7/27/2023,345573.8339,2022-23
7/28/2023,344490.5952,2022-23
7/29/2023,343384.1176,2022-23
7/30/2023,342394.7266,2022-23
7/31/2023,341399.7612,2022-23
8/1/2023,340399.3114,2022-23
8/2/2023,339257.2561,2022-23
8/3/2023,338313.9031,2022-23
8/4/2023,337226.4567,2022-23
8/5/2023,336127.0104,2022-23
8/6/2023,335213.4567,2022-23
8/7/2023,334705.8789,2022-23
8/8/2023,334372.5571,2022-23
8/9/2023,335650.6678,2022-23
8/10/2023,338142.7612,2022-23
8/11/2023,338108.4014,2022-23
8/12/2023,337383.5779,2022-23
8/13/2023,336385.6298,2022-23
8/14/2023,335116.7301,2022-23
8/15/2023,333901.128,2022-23
8/16/2023,332756.4637,2022-23
8/17/2023,331701.8685,2022-23
8/18/2023,330719.8304,2022-23
8/19/2023,329944.6955,2022-23
8/20/2023,329029.8962,2022-23
8/21/2023,328203.3945,2022-23
8/22/2023,327442.5917,2022-23
8/23/2023,327001.8131,2022-23
8/24/2023,326571.8789,2022-23
8/25/2023,325825.4325,2022-23
8/26/2023,325177.917,2022-23
8/27/2023,324382.5017,2022-23
8/28/2023,323569.9689,2022-23
8/29/2023,323162.3149,2022-23
8/30/2023,326369.4948,2022-23
8/31/2023,327558.91,2022-23
9/1/2023,328109.8581,2022-23
9/2/2023,327264.4879,2022-23
9/3/2023,326420.699,2022-23
9/4/2023,326320.7093,2022-23
9/5/2023,326673.3806,2022-23
9/6/2023,326520.2699,2022-23
9/7/2023,326182.7543,2022-23
9/8/2023,325673.1799,2022-23
9/9/2023,325072.6851,2022-23
9/10/2023,324308.4083,2022-23
9/11/2023,323641.9031,2022-23
9/12/2023,323512,2022-23
9/13/2023,323409,2022-23
9/14/2023,323302.3356,2022-23
9/15/2023,322661.6228,2022-23
9/16/2023,321989.4567,2022-23
9/17/2023,321375.3495,2022-23
9/18/2023,323700.5363,2022-23
9/19/2023,323314.1938,2022-23
9/20/2023,326975.5571,2022-23
9/21/2023,326432.7647,2022-23
9/22/2023,325739.8097,2022-23
9/23/2023,325111.1592,2022-23
9/24/2023,327986,2022-23
9/25/2023,330936,2022-23
9/26/2023,349408.1834,2022-23
9/27/2023,356713.6955,2022-23
9/28/2023,358486.7439,2022-23
9/29/2023,360462.4983,2022-23
9/30/2023,359969.8616,2022-23
10/1/2023,359400.9585,2022-23
10/2/2023,358873.6021,2022-23
10/3/2023,360940.0035,2022-23
10/4/2023,360615.3737,2022-23
10/5/2023,360413.8097,2022-23
10/6/2023,359831.6125,2022-23
10/7/2023,359155.5329,2022-23
10/8/2023,358429.5502,2022-23
10/9/2023,357831.5433,2022-23
10/10/2023,363561.9827,2022-23
10/11/2023,369238.173,2022-23
10/12/2023,368837.3564,2022-23
10/13/2023,368360.9723,2022-23
10/14/2023,370593.6851,2022-23
10/15/2023,374686.4291,2022-23
10/16/2023,375090.9412,2022-23
10/17/2023,381490.128,2022-23
10/18/2023,387813.5156,2022-23
10/19/2023,396768.1661,2022-23
10/20/2023,398415.9446,2022-23
10/21/2023,397900.9965,2022-23
10/22/2023,397290.6436,2022-23
10/23/2023,396559.5467,2022-23
10/24/2023,395898.5882,2022-23
10/25/2023,398200.6263,2022-23
10/26/2023,397550,2022-23
10/27/2023,396890,2022-23
10/28/2023,394680,2022-23
10/29/2023,393175,2022-23
10/30/2023,391780,2022-23
10/31/2023,390865,2022-23
