datetime,DGR,rating
9/22/2016,2,Low
9/23/2016,1,Very Low
9/24/2016,1,Very Low
9/25/2016,1,Very Low
9/26/2016,1,Very Low
9/27/2016,1,Very Low
9/28/2016,2,Low
9/29/2016,2,Low
9/30/2016,2,Low
10/1/2016,1,Very Low
10/2/2016,1,Very Low
10/3/2016,1,Very Low
10/4/2016,1,Very Low
10/5/2016,1,Very Low
10/6/2016,1,Very Low
10/7/2016,1,Very Low
10/8/2016,1,Very Low
10/9/2016,1,Very Low
10/10/2016,1,Very Low
10/11/2016,1,Very Low
10/12/2016,2,Low
10/13/2016,1,Very Low
10/14/2016,1,Very Low
10/15/2016,1,Very Low
10/16/2016,1,Very Low
10/17/2016,1,Very Low
10/18/2016,1,Very Low
10/19/2016,1,Very Low
10/20/2016,1,Very Low
10/21/2016,1,Very Low
10/22/2016,1,Very Low
10/23/2016,1,Very Low
10/24/2016,1,Very Low
10/25/2016,1,Very Low
10/26/2016,1,Very Low
10/27/2016,1,Very Low
10/28/2016,1,Very Low
10/29/2016,1,Very Low
10/30/2016,1,Very Low
10/31/2016,1,Very Low
11/1/2016,1,Very Low
11/2/2016,1,Very Low
11/3/2016,1,Very Low
11/4/2016,1,Very Low
11/5/2016,1,Very Low
11/6/2016,1,Very Low
11/7/2016,1,Very Low
11/8/2016,1,Very Low
11/9/2016,1,Very Low
11/10/2016,1,Very Low
11/11/2016,1,Very Low
11/12/2016,1,Very Low
11/13/2016,1,Very Low
11/14/2016,1,Very Low
11/15/2016,1,Very Low
11/16/2016,1,Very Low
11/17/2016,1,Very Low
11/18/2016,1,Very Low
11/19/2016,1,Very Low
11/20/2016,1,Very Low
11/21/2016,1,Very Low
11/22/2016,1,Very Low
11/23/2016,1,Very Low
11/24/2016,1,Very Low
11/25/2016,1,Very Low
11/26/2016,1,Very Low
11/27/2016,1,Very Low
11/28/2016,1,Very Low
11/29/2016,1,Very Low
11/30/2016,1,Very Low
12/1/2016,1,Very Low
12/2/2016,1,Very Low
12/3/2016,1,Very Low
12/4/2016,1,Very Low
12/5/2016,1,Very Low
12/6/2016,1,Very Low
12/7/2016,1,Very Low
12/8/2016,1,Very Low
12/9/2016,1,Very Low
12/10/2016,1,Very Low
12/11/2016,1,Very Low
12/12/2016,1,Very Low
12/13/2016,1,Very Low
12/14/2016,1,Very Low
12/15/2016,1,Very Low
12/16/2016,1,Very Low
12/17/2016,1,Very Low
12/18/2016,1,Very Low
12/19/2016,1,Very Low
12/20/2016,1,Very Low
12/21/2016,1,Very Low
12/22/2016,1,Very Low
12/23/2016,1,Very Low
12/24/2016,1,Very Low
12/25/2016,1,Very Low
12/26/2016,1,Very Low
12/27/2016,1,Very Low
12/28/2016,1,Very Low
12/29/2016,1,Very Low
12/30/2016,1,Very Low
12/31/2016,1,Very Low
1/1/2017,1,Very Low
